Abstract,Category
"Precision medicine is an emerging approach to clinical research and patient care that focuses on understanding and treating disease by integrating multi-modal or multi-omics data from an individual to make patient-tailored decisions. With the large and complex datasets generated using precision medicine diagnostic approaches, novel techniques to process and understand these complex data were needed. At the same time, computer science has progressed rapidly to develop techniques that enable the storage, processing, and analysis of these complex datasets, a feat that traditional statistics and early computing technologies could not accomplish. Machine learning, a branch of artificial intelligence, is a computer science methodology that aims to identify complex patterns in data that can be used to make predictions or classifications on new unseen data or for advanced exploratory data analysis. Machine learning analysis of precision medicine's multi-modal data allows for broad analysis of large datasets and ultimately a greater understanding of human health and disease. This review focuses on machine learning utilization for precision medicine's ""big data"", in the context of genetics, genomics, and beyond.",Generic
"Cyber attacks have been increasingly detrimental to networks, systems, and users, and are increasing in number and severity globally. To better predict system vulnerabilities, cybersecurity researchers are developing new and more holistic approaches to characterizing cybersecurity system risk. The process must include characterizing the human factors that contribute to cyber security vulnerabilities and risk. Rationality, expertise, and maliciousness are key human characteristics influencing cyber risk within this context, yet maliciousness is poorly characterized in the literature. There is a clear absence of literature pertaining to human factor maliciousness as it relates to cybersecurity and only limited literature relating to aspects of maliciousness in other disciplinary literatures, such as psychology, sociology, and law. In an attempt to characterize human factors as a contribution to cybersecurity risk, the Cybersecurity Collaborative Research Alliance (CSec-CRA) has developed a Human Factors risk framework. This framework identifies the characteristics of an attacker, user, or defender, all of whom may be adding to or mitigating against cyber risk. The maliciousness literature and the proposed maliciousness assessment metrics are discussed within the context of the Human Factors Framework and Ontology. Maliciousness is defined as the intent to harm. Most maliciousness cyber research to date has focused on detecting malicious software but fails to analyze an individual's intent to do harm to others by deploying malware or performing malicious attacks. Recent efforts to identify malicious human behavior as it relates to cybersecurity, include analyzing motives driving insider threats as well as user profiling analyses. However, cyber-related maliciousness is neither well-studied nor is it well understood because individuals are not forced to expose their true selves to others while performing malicious attacks. Given the difficulty of interviewing malicious-behaving individuals and the potential untrustworthy nature of their responses, we aim to explore the maliciousness as a human factor through the observable behaviors and attributes of an individual from their actions and interactions with society and networks, but to do so we will need to develop a set of analyzable metrics. The purpose of this paper is twofold: (1) to review human maliciousness-related literature in diverse disciplines (sociology, economics, law, psychology, philosophy, informatics, terrorism, and cybersecurity); and (2) to identify an initial set of proposed assessment metrics and instruments that might be culled from in a future effort to characterize human maliciousness within the cyber realm. The future goal is to integrate these assessment metrics into holistic cybersecurity risk analyses to determine the risk an individual poses to themselves as well as other networks, systems, and/or users.",Generic
"Eubacterium bacteremia is rare. We report a senile patient who presented with 3 episodes of bacteremia, caused by Clostridium perfringens, Eubacterium limosum and Escherichia coli, respectively, which led to the diagnosis of adenocarcinoma of the colon. A differential diagnosis of colon cancer should be considered in patients with eubacterium bacteremia.",Colon_Cancer
"A subset of genetic alterations distinguishes two groups of colon cancers. In the first group instability of microsatellite loci due to a defective DNA mismatch repair system is observed. The second group is characterized by recurrent losses of chromosome regions, frequently associated with hyperploidization. We have developed a technique which enables a fine description of allelic losses in this second group of tumours. The typing of 278 loci in 47 hyperploid colon cancers has provided information for an average of 160 loci per tumour. The high frequency of allelic losses on chromosomes 17, 18 and 5 was confirmed thus validating our methodological approach. Several additional chromosome segments were observed lost in over 40% of the cases, suggesting that tumour suppressor genes may map within these regions. Further technical development should contribute to the identification of these genes.",Colon_Cancer
"Nonmedullary thyroid carcinoma is known to occur in association with primary hyperparathyroidism. A combination of secondary, uremic, hyperparathyroidism and non-medullary thyroid carcinoma is rare and was hitherto reported in only 12 cases. We report another three patients with this parathyroid/thyroid disease combination, suggesting that it may represent not merely a coincidence. A number of factors active in secondary hyperparathyroidism may play a role in the induction and/or promotion of the thyroid cancer. These include parathyroid endocrinopathy, goiterogenic effect of prolonged hypercalcemia, and uremia. During surgery on the parathyroid glands, associated thyroid lesions demand special considerations.",Thyroid_Cancer
"The development and progression of colorectal cancer (CRC), a major cause of cancer-related death in the western world, is accompanied with alterations of sphingolipid (SL) composition in colon tumors. A number of enzymes involved in the SL metabolism have been found to be deregulated in human colon tumors, in experimental rodent studies, and in human colon cancer cells in vitro. Therefore, the enzymatic pathways that modulate SL levels have received a significant attention, due to their possible contribution to CRC development, or as potential therapeutic targets. Many of these enzymes are associated with an increased sphingosine-1-phosphate/ceramide ratio, which is in turn linked with increased colon cancer cell survival, proliferation and cancer progression. Nevertheless, more attention should also be paid to the more complex SLs, including specific glycosphingolipids, such as lactosylceramides, which can be also deregulated during CRC development. In this review, we focus on the potential roles of individual SLs/SL metabolism enzymes in colon cancer, as well as on the pros and cons of employing the current in vitro models of colon cancer cells for lipidomic studies investigating the SL metabolism in CRC.",Colon_Cancer
"Recently, many tumor sequencing studies have inferred and reported on mutational signatures, short nucleotide patterns at which particular somatic base substitutions appear more often. A number of signatures reflect biological processes in the patient and factors associated with cancer risk. Our goal is to infer mutational signatures appearing in colon cancer, a cancer for which environmental risk factors vary by cancer subtype, and compare the signatures to those in adult stem cells from normal colon. We also compare the mutational signatures to others in the literature.",Colon_Cancer
"Accurate staging of lung cancer is essential for proper treatment and management of the disease, and allows predictions for patient survival. Several different invasive and noninvasive modalities exist for staging, and the determination of the best approach of one or a combination of those methods depends on the clinical situation and the clinician's assessment of the most appropriate means of staging evaluation. This review discusses the elements and framework of lung cancer staging, with particular emphasis on those newer modalities, especially positron emission tomography and endoscopic ultrasound needle biopsy, which will be expected to be used increasingly more common in clinical practice.",Lung_Cancer
"Endoscopic thyroidectomy is a relatively new approach in treating differentiated thyroid cancer. Since last decades, more and more endoscopic thyroidectomies have been performed. We review the indications and contraindications, methods, and postoperational complications of this surgical procedure. Lots of surgical approaches have been developed in endoscopic thyroidectomy for differentiated thyroid cancer. Compared to conventional thyroidectomy, scarless endoscopic thyroidectomy has a superior cosmetic result. And it also reduces the incidence of hypesthesia, paresthesia, or feelings of self-consciousness. However, the outcome depends, to a large extent, on the skill of the operator and the learning curve being relatively long. With the development of surgical equipments and skills, operation time and complications will be reduced. Indications of endoscopic thyroidectomy will be widened and it will be more and more performed.",Thyroid_Cancer
"A number of pathophysiological conditions of the lungs which may be considered modifying factors of lung carcinogenesis are analyzed from clinical viewpoints. Among them are hypoperfusion of the upper lobes, dyskinesia of bronchi accompanied by the throwing of bronchial content into the postural bronchi, retroresorbtion of the liquid phaze of the bronchial discharge under inflammatory conditions etc. These phenomena are accounted for by the prevailing localization of cancer in the upper lobes, development of malignization in hypoperfused scars and so on. Some prophylactic measures are proposed.",Lung_Cancer
"Epidemiological findings on the relation between foods and colon cancer are inconsistent. Many, but far from all, found positive associations for meat and fat and negative ones for vegetables and fruits. Explanations so far have focused on direct biochemical conversions in the colon or transit time, but they remain unable to explain the contradictory observations. One aspect grossly ignored has been bacterially produced heat which is beyond somatic control. A present day affluent lifestyle includes a more sedentary life, the strongest of all risk factors for colon cancer, with more sitting and less diffusion of bacterial heat, more fat and sugar, rich in energy and less of energy poor foods like cereals. A temperature higher by less than 1 degrees C in the colon over decades may promote tumour growth to a distinguishable extent.",Colon_Cancer
"Numerous recent advances in robotics have been inspired by the biological principle of tensile integrity-or ""tensegrity""-to achieve remarkable feats of dexterity and resilience. Tensegrity robots contain compliant networks of rigid struts and soft cables, allowing them to change their shape by adjusting their internal tension. Local rigidity along the struts provides support to carry electronics and scientific payloads, while global compliance enabled by the flexible interconnections of struts and cables allows a tensegrity to distribute impacts and prevent damage. Numerous techniques have been proposed for designing and simulating tensegrity robots, giving rise to a wide range of locomotion modes, including rolling, vibrating, hopping, and crawling. In this study, we review progress in the burgeoning field of tensegrity robotics, highlighting several emerging challenges, including automated design, state sensing, and kinodynamic motion planning.",Generic
"Anatomic staging is a critical step in evaluation of patients with lung cancer. Accurate identification of stage based on features of primary tumor (T), regional nodes (N), and metastatic disease (M) is fundamental to determining appropriate care. In this article, the TNM components of the anatomic staging system and a framework for description of lung cancer with multiple pulmonary sites of involvement are discussed. TNM combinations are grouped according to prognosis, with patient-level, tumor-level, and environment-level factors also influencing survival outcomes. Although the staging system does not include molecular and immunologic information, anatomic staging remains the common language for communicating extent of disease.",Lung_Cancer
"We quantitatively evaluated dendritic cell (DC) infiltration in primary colorectal cancers from 44 patients and metastatic colorectal tumors from 13 patients using immunohistochemistry for the DC marker CD83, HLA-DR, and the DC activation molecules CD40 and CD86. Nearly all CD83+ cells were also HLA-DR+, CD40+, and CD86+, indicating that the DCs that infiltrate colon cancer in vivo express the activation and costimulatory molecules associated with a mature DC phenotype. The density of DCs in colorectal cancer primaries was three times lower than that seen in normal colonic mucosa (0.29 versus 0.84 CD83+ cells/ high-power field (hpf), p < 0.001). Dendritic cells were rarely observed in metastatic tumors: DC density in metastases was sixfold lower than in colorectal primary tumors (0.05 versus 0.29 CD83+ cells/hpf, p < 0.001). Because cytokines have been shown, in vitro, to exert potent effects on DCs, we also evaluated the relationship between intratumor DC density and the expression of cytokines by tumor-infiltrating lymphocytes (TILs) and tumor cells. Expression of interleukin-10 and transforming growth factor beta by either TIL or tumor cells was not associated with decreased DC density or decreased expression of CD40 or CD86 on DCs. Tumor expression of vascular endothelial growth factor was associated with a more than twofold increase in DC density (p = 0.01). Patients who had a high proportion of TILs expressing tumor necrosis factor (TNF) had a greater intratumor mature DC density than patients with a low proportion of TNF + TIL (0.54 versus 0.21 CD83+ cells/hpf, p < 0.01).",Colon_Cancer
"In recent years, the exploitation of assistive robotics has experienced significant growth, mostly based on the development of sensor and processing technologies with the increasing interest in improving the interactions between robots and humans and making them more natural [...].",Generic
"At variance with other human malignancies, p53 mutations are not frequent in thyroid cancer and are believed to be responsible mainly for cancer progression to poorly differentiated and aggressive phenotype. p63 and p73, two proteins with a high degree of homology with p53, are overexpressed in thyroid cancer, but their role in cancer initiation or progression is controversial. Regulation of p53 family protein function depends on: (1) the balance between the expression of transcriptionally active (p53, TAp63, and TAp73) and inactive isoforms (DeltaNp63 and DeltaNp73); (2) their interaction and competition at DNA-responsive elements; (3) their interaction with regulatory proteins, either inhibitory or activating. In thyroid cancer, therefore, although mutations of the p53 oncosuppressor protein family are rare, other mechanisms are present, including aberrant expression of p53 family dominant negative isoforms, up-regulation of inhibitory proteins, and functional inhibition of activating proteins. The overall result is a defective oncosuppressor activity. These inactivating mechanisms may be present in the early stages of thyroid cancer and in different cancer histotypes. A better understanding of this complex network may not only ameliorate our comprehension of cancer biology, but also open the possibility of innovative diagnostic procedures and the development of targeted therapies.",Thyroid_Cancer
"Survivin is a newly identified apoptosis inhibitor. Studies indicated that Survivin over-expressed in malignant tumors. This study was designed to evaluate the expression of Survivin in colon cancer,and the correlation of its expression to clinical characteristics and prognosis of patients with colon cancer.",Colon_Cancer
"The relationship between Graves' disease or its therapy and carcinoma of the thyroid remains uncertain. We studied 20 patients found to have thyroid cancer in glands previously treated for Graves' disease between 1961 and 1986 at the University of Chicago Medical Center. Sixteen (80%) occurred in women and four (20%) occurred in men. The mean age at operation was 37 years (range, 19 to 69 years) and did not differ by sex. Fifteen of the 20 cancers (75%) were papillary while five (25%) were follicular. Six individuals (30%) had a history of external radiation to the head and neck as an infant, child, or young adult. Two others had received radioiodine (RAI) therapy for Graves' disease 1 and 19 years earlier. Patients were divided into three groups: group I: four patients (20%) had a neck mass 4, 14, 20, and 41 years after having had a subtotal thyroidectomy (STT) for Graves' disease; three of four had a history of external irradiation therapy. These tumors behaved aggressively, resulting in the death of two of the four patients. group II: 11 patients (55%) had diffusely enlarge toxic goiters without a nodule. A carcinoma was diagnosed intraoperatively on frozen section in only two of these patients. The others received STT. After recognition on permanent section, those carcinomas that were 4 mm or greater in diameter received postoperative RAI. One recurrence occurred and was treated successfully with further RAI. group III: Five patients (25%) had Graves' disease and a palpable thyroid nodule. None of them had had a prior thyroidectomy for Graves' disease, as in group 1. Thyroid carcinoma was diagnosed in all patients preoperatively or intraoperatively, and a total thyroidectomy was performed. Each patient is alive and well with a mean follow-up of 5 years. Between 1971 and 1981, 194 patients had surgery for Graves' disease, and 10 (5.2%) were found to have an associated carcinoma; six patients (3.1% of the total) did not have a nodule or any other suspicion of malignancy before surgery. During the same time, 303 patients received RAI therapy for Graves' disease and one (0.3%) has subsequently developed thyroid carcinoma. Thyroid cancer associated with Graves' disease is found more commonly in surgically treated patients than in patients after RAI therapy. The greatest risk factor in our patients was previous external radiation to the head and neck. Such individuals should be treated with total thyroid ablation rather than the usual STT, since they are at risk of developing aggressive thyroid cancers if thyroid remnants are left.",Thyroid_Cancer
